date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested
2022-05-13,US_NY_36029,0.0,3.0,,,227059.0,2651.0,,
2022-05-13,US_NY_36031,0.0,0.0,,,6124.0,61.0,,
2022-05-13,US_NY_36033,0.0,0.0,,,10059.0,46.0,,
2022-05-13,US_NY_36035,0.0,0.0,,,13428.0,169.0,,
2022-05-13,US_NY_36037,0.0,0.0,,,14395.0,187.0,,
2022-05-13,US_NY_36039,0.0,1.0,,,9055.0,130.0,,
2022-05-13,US_NY_36041,0.0,0.0,,,919.0,5.0,,
2022-05-13,US_NY_36043,0.0,0.0,,,14827.0,193.0,,
2022-05-13,US_NY_36045,0.0,0.0,,,21422.0,138.0,,
2022-09-12,US_NY_36047,570.0,0.0,,,725295.0,11312.0,,
2022-05-13,US_NY_36049,0.0,0.0,,,6417.0,49.0,,
2022-05-13,US_NY_36051,0.0,0.0,,,12324.0,118.0,,
2022-05-13,US_NY_36053,0.0,0.0,,,14319.0,127.0,,
2022-05-13,US_NY_36055,0.0,1.0,,,163464.0,1587.0,,
2022-05-13,US_NY_36057,0.0,0.0,,,12471.0,205.0,,
2022-05-13,US_NY_36059,0.0,1.0,,,425386.0,3853.0,,
2022-09-12,US_NY_36061,410.0,0.0,,,438681.0,4905.0,,
2022-05-13,US_NY_36063,0.0,1.0,,,51069.0,585.0,,
2022-05-13,US_NY_36065,0.0,1.0,,,58360.0,803.0,,
2022-05-13,US_NY_36067,0.0,0.0,,,121727.0,1073.0,,
2022-05-13,US_NY_36069,0.0,0.0,,,21586.0,180.0,,
2022-05-13,US_NY_36071,0.0,1.0,,,111228.0,954.0,,
2022-05-13,US_NY_36073,0.0,1.0,,,9116.0,117.0,,
2022-05-13,US_NY_36075,0.0,0.0,,,28826.0,194.0,,
2022-05-13,US_NY_36077,0.0,0.0,,,10667.0,88.0,,
2022-05-13,US_NY_36079,0.0,0.0,,,24875.0,125.0,,
2022-09-12,US_NY_36081,516.0,0.0,,,667342.0,10781.0,,
2022-05-13,US_NY_36083,0.0,2.0,,,33850.0,259.0,,
2022-09-12,US_NY_36085,106.0,1.0,,,171569.0,2217.0,,
2022-05-13,US_NY_36087,0.0,0.0,,,96142.0,897.0,,
2022-05-13,US_NY_36089,0.0,0.0,,,22454.0,191.0,,
2022-05-13,US_NY_36091,0.0,0.0,,,49890.0,335.0,,
2022-05-13,US_NY_36093,0.0,0.0,,,35317.0,305.0,,
2022-05-13,US_NY_36095,0.0,0.0,,,5336.0,36.0,,
2022-05-13,US_NY_36097,0.0,0.0,,,3724.0,25.0,,
2022-05-13,US_NY_36099,0.0,0.0,,,6391.0,91.0,,
2022-05-13,US_NY_36101,0.0,0.0,,,21216.0,253.0,,
2022-05-13,US_NY_36103,0.0,2.0,,,444799.0,4399.0,,
2022-05-13,US_NY_36105,0.0,0.0,,,19217.0,130.0,,
